33.0,0.0
1.0,0.0
2.0,0.0125
3.0,0.025
4.0,0.0375
5.0,0.05
6.0,0.0625
7.0,0.075
8.0,0.0875
9.0,0.1
10.0,0.1125
11.0,0.125
12.0,0.1375
13.0,0.15
14.0,0.1625
15.0,0.175
16.0,0.1875
17.0,0.2
18.0,0.2125
19.0,0.225
20.0,0.2375
21.0,0.25
22.0,0.2625
23.0,0.275
24.0,0.2875
25.0,0.3
26.0,0.3125
27.0,0.325
28.0,0.3375
29.0,0.35
30.0,0.3625
31.0,0.375
32.0,0.3875
33.0,0.4
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,4.0
10.0,4.0
11.0,4.0
12.0,4.0
13.0,4.0
14.0,4.0
15.0,4.0
16.0,4.0
17.0,4.0
18.0,4.0
19.0,4.0
20.0,4.0
21.0,4.0
22.0,4.0
23.0,4.0
24.0,4.0
25.0,1.0
26.0,1.0
27.0,1.0
28.0,1.0
29.0,1.0
30.0,1.0
31.0,1.0
32.0,1.0
